Player,Tm,No.,Nationality,Age,Ht,Wt,R/L,Experience,Birth Date,Stats,Draft,playerID
Zach Benson,BUF,6,CA,20,10-May,177,L/-,2,May 12 2005,7 G 19 A 26 P,2023 BUF 1st (13),bensoza01
Jacob Bryson,BUF,78,CA,28,9-May,177,L/-,5,November 18 1997,2 G 3 A 5 P,2017 BUF 4th (99),brysoja01
Bowen Byram,BUF,4,CA,24,1-Jun,205,L/-,5,June 13 2001,10 G 18 A 28 P,2019 COL 1st (4),byrambo01
Rasmus Dahlin (C),BUF,26,SE,25,3-Jun,204,L/-,7,April 13 2000,11 G 37 A 48 P,2018 BUF 1st (1),dahlira01
Justin Danforth,BUF,15,CA,32,8-May,193,R/-,4,March 15 1993,0 G 0 A 0 P,Undrafted,danfoju01
Josh Doan,BUF,91,US,23,2-Jun,198,R/-,2,February 1 2002,18 G 21 A 39 P,2021 ARI 2nd (37),doanjo01
Josh Dunne,BUF,44,US,27,4-Jun,208,L/-,3,December 8 1998,1 G 3 A 4 P,Undrafted,dunnejo01
Colten Ellis,BUF,92,CA,25,1-Jun,191,-/L,Rookie,October 5 2000,7-4-1 3.11 GAA,2019 STL 3rd (93),ellisco01
Jordan Greenway,BUF,12,US,28,6-Jun,231,L/-,8,February 16 1997,1 G 4 A 5 P,2015 MIN 2nd (50),greenjo02
Michael Kesselring,BUF,8,US,26,5-Jun,215,R/-,3,January 13 2000,0 G 1 A 1 P,2018 EDM 6th (164),kessemi01
Tyson Kozak,BUF,48,CA,23,11-May,185,L/-,1,December 29 2002,2 G 2 A 4 P,2021 BUF 7th (193),kozakty01
Peyton Krebs,BUF,19,CA,25,Jun-00,188,L/-,5,January 26 2001,7 G 18 A 25 P,2019 VEG 1st (17),krebspe01
Jiri Kulich,BUF,20,CZ,21,1-Jun,193,L/-,2,April 14 2004,3 G 2 A 5 P,2022 BUF 1st (28),kulicji01
Ukko-Pekka Luukkonen,BUF,1,FI,26,5-Jun,223,-/L,5,March 9 1999,11-7-2 2.73 GAA,2017 BUF 2nd (54),luukkuk01
Alex Lyon,BUF,34,US,33,1-Jun,199,-/L,8,December 9 1992,14-8-3 2.72 GAA,Undrafted,lyonal01
Beck Malenstyn,BUF,29,CA,27,3-Jun,209,L/-,5,February 4 1998,4 G 4 A 8 P,2016 WSH 5th (145),malenbe01
Ryan McLeod,BUF,71,CA,26,3-Jun,204,L/-,5,September 21 1999,11 G 30 A 41 P,2018 EDM 2nd (40),mcleory01
Josh Norris,BUF,9,US,26,2-Jun,196,L/-,6,May 5 1999,6 G 11 A 17 P,2017 SJS 1st (19),norrijo01
Noah Ostlund,BUF,86,SE,21,11-May,180,L/-,1,March 11 2004,10 G 9 A 19 P,2022 BUF 1st (16),ostluno01
Owen Power,BUF,25,CA,23,6-Jun,226,L/-,4,November 22 2002,4 G 13 A 17 P,2021 BUF 1st (1),powerow01
Jack Quinn,BUF,22,CA,24,1-Jun,185,R/-,4,September 19 2001,12 G 25 A 37 P,2020 BUF 1st (8),quinnja01
Mattias Samuelsson,BUF,23,US,25,4-Jun,229,L/-,5,March 14 2000,11 G 23 A 34 P,2018 BUF 2nd (32),samuema02
Tage Thompson,BUF,72,US,28,6-Jun,220,R/-,8,October 30 1997,30 G 29 A 59 P,2016 STL 1st (26),thompta01
Conor Timmins,BUF,21,CA,27,3-Jun,213,R/-,6,September 18 1998,0 G 6 A 6 P,2017 COL 2nd (32),timmico01
Alex Tuch,BUF,89,US,29,4-Jun,219,R/-,9,May 10 1996,22 G 26 A 48 P,2014 MIN 1st (18),tuchal01
Jason Zucker,BUF,17,US,34,11-May,198,L/-,14,January 16 1992,15 G 14 A 29 P,2010 MIN 2nd (59),zuckeja01
Sebastian Aho,CAR,20,FI,28,Jun-00,189,L/-,9,July 26 1997,20 G 37 A 57 P,2015 CAR 2nd (35),ahose01
Frederik Andersen,CAR,31,DK,36,4-Jun,229,-/L,12,October 2 1989,7-10-5 3.26 GAA,2012 ANA 3rd (87),anderfr01
Jackson Blake,CAR,53,US,22,11-May,185,R/-,2,August 3 2003,16 G 17 A 33 P,2021 CAR 4th (109),blakeja02
Brandon Bussi,CAR,32,US,27,4-Jun,218,-/R,Rookie,June 25 1998,23-3-1 2.16 GAA,Undrafted,bussibr01
William Carrier,CAR,28,CA,31,2-Jun,214,L/-,9,December 20 1994,6 G 6 A 12 P,2013 STL 2nd (57),carriwi01
Jalen Chatfield,CAR,5,US,29,1-Jun,209,R/-,5,May 15 1996,1 G 12 A 13 P,Undrafted,chatfja01
Nikolaj Ehlers,CAR,27,DK,29,Jun-00,168,L/-,10,February 14 1996,14 G 29 A 43 P,2014 WPG 1st (9),ehlerni01
Shayne Gostisbehere,CAR,4,US,32,11-May,183,L/-,11,April 20 1993,9 G 29 A 38 P,2012 PHI 3rd (78),gostish01
Taylor Hall,CAR,71,CA,34,1-Jun,210,L/-,15,November 14 1991,12 G 15 A 27 P,2010 EDM 1st (1),hallta02
Mark Jankowski,CAR,77,CA,31,4-Jun,200,L/-,9,September 13 1994,5 G 8 A 13 P,2012 CGY 1st (21),jankoma01
Seth Jarvis,CAR,24,CA,23,10-May,180,R/-,4,February 1 2002,25 G 18 A 43 P,2020 CAR 1st (13),jarvise01
Pyotr Kochetkov,CAR,52,RU,26,3-Jun,196,-/L,4,June 25 1999,6-2-0 2.33 GAA,2019 CAR 2nd (36),kochepy01
Jesperi Kotkaniemi,CAR,82,FI,25,3-Jun,212,L/-,7,July 6 2000,2 G 7 A 9 P,2018 MTL 1st (3),kotkaje01
Jordan Martinook,CAR,48,CA,33,1-Jun,208,L/-,11,July 25 1992,7 G 11 A 18 P,2012 PHX 2nd (58),martijo01
K'Andre Miller,CAR,19,US,26,5-Jun,210,L/-,5,January 21 2000,4 G 19 A 23 P,2018 NYR 1st (22),milleka01
Alexander Nikishin,CAR,21,RU,24,3-Jun,218,L/-,Rookie,October 2 2001,7 G 15 A 22 P,2020 CAR 3rd (69),nikisal01
Mike Reilly,CAR,6,US,32,2-Jun,191,L/-,10,July 13 1993,1 G 6 A 7 P,2011 CBJ 4th (98),reillmi01
Eric Robinson,CAR,50,US,30,2-Jun,220,L/-,8,June 14 1995,10 G 5 A 15 P,Undrafted,robiner01
Jaccob Slavin,CAR,74,US,31,3-Jun,207,L/-,10,May 1 1994,0 G 3 A 3 P,2012 CAR 4th (120),slavija01
Jordan Staal (C),CAR,11,CA,37,4-Jun,220,L/-,19,September 10 1988,15 G 11 A 26 P,2006 PIT 1st (2),staaljo01
Logan Stankoven,CAR,22,CA,22,8-May,165,R/-,2,February 26 2003,10 G 15 A 25 P,2021 DAL 2nd (47),stanklo01
Andrei Svechnikov,CAR,37,RU,25,3-Jun,200,L/-,7,March 26 2000,21 G 28 A 49 P,2018 CAR 1st (2),svechan01
Sean Walker,CAR,26,CA,31,11-May,191,R/-,7,November 13 1994,4 G 10 A 14 P,Undrafted,walkese01
Yaroslav Askarov,SJS,30,RU,23,3-Jun,180,-/R,3,June 16 2002,17-15-2 3.53 GAA,2020 NSH 1st (11),askarya01
Macklin Celebrini,SJS,71,CA,19,Jun-00,190,L/-,1,June 13 2006,28 G 53 A 81 P,2024 SJS 1st (1),celebma01
Ty Dellandrea,SJS,10,CA,25,2-Jun,185,R/-,5,July 21 2000,2 G 9 A 11 P,2018 DAL 1st (13),dellaty01
Vincent Desharnais,SJS,5,CA,29,7-Jun,225,R/-,3,May 29 1996,1 G 3 A 4 P,2016 EDM 7th (183),deshavi01
Sam Dickinson,SJS,6,CA,19,3-Jun,200,L/-,Rookie,June 7 2006,1 G 8 A 9 P,2024 SJS 1st (11),dickisa01
William Eklund,SJS,72,SE,23,10-May,185,L/-,4,October 12 2002,11 G 24 A 35 P,2021 SJS 1st (7),eklunwi01
Mario Ferraro,SJS,38,CA,27,11-May,200,L/-,6,September 17 1998,4 G 8 A 12 P,2017 SJS 2nd (49),ferrama01
Adam Gaudette,SJS,81,US,29,1-Jun,190,R/-,7,October 3 1996,13 G 7 A 20 P,2015 VAN 5th (149),gaudead01
Barclay Goodrow,SJS,23,CA,32,2-Jun,210,L/-,11,February 26 1993,4 G 5 A 9 P,Undrafted,goodrba01
Collin Graf,SJS,51,US,23,1-Jun,190,R/-,2,September 21 2002,15 G 16 A 31 P,Undrafted,grafco01
John Klingberg,SJS,3,SE,33,2-Jun,185,R/-,11,August 14 1992,10 G 10 A 20 P,2010 DAL 5th (131),klingjo01
Justin Kowalkoski,SJS,1,US,39,10-May,165,-/L,Rookie,March 16 1986,NaN,Undrafted,kowalju01
Philipp Kurashev,SJS,96,CH,26,Jun-00,190,L/-,5,October 12 1999,7 G 10 A 17 P,2018 CHI 4th (120),kurasph01
Timothy Liljegren,SJS,37,SE,26,1-Jun,200,R/-,6,April 30 1999,1 G 10 A 11 P,2017 TOR 1st (17),liljeti01
Michael Misa,SJS,77,CA,18,1-Jun,185,L/-,Rookie,February 16 2007,2 G 6 A 8 P,2025 SJS 1st (2),misami01
Shakir Mukhamadullin,SJS,85,RU,24,4-Jun,200,L/-,2,January 10 2002,3 G 4 A 7 P,2020 NJD 1st (20),mukhash01
Alex Nedeljkovic,SJS,33,US,30,Jun-00,205,-/L,8,January 7 1996,10-9-2 2.91 GAA,2014 CAR 2nd (37),nedelal01
Dmitry Orlov,SJS,9,SU,34,11-May,215,L/-,13,July 23 1991,1 G 22 A 23 P,2009 WSH 2nd (55),orlovdm01
Zack Ostapchuk,SJS,63,CA,22,4-Jun,212,L/-,2,May 29 2003,3 G 1 A 4 P,2021 OTT 2nd (39),ostapza01
Ryan Reaves,SJS,75,CA,39,2-Jun,225,R/-,15,January 20 1987,3 G 0 A 3 P,2005 STL 5th (156),reavery01
Pavol Regenda,SJS,84,SK,26,3-Jun,215,L/-,2,December 7 1999,8 G 1 A 9 P,Undrafted,regenpa01
Kiefer Sherwood,SJS,44,US,30,Jun-00,194,R/-,7,March 31 1995,0 G 0 A 0 P,Undrafted,sherwki01
Jeff Skinner,SJS,53,CA,33,11-May,200,L/-,15,May 16 1992,6 G 7 A 13 P,2010 CAR 1st (7),skinnje01
Will Smith,SJS,2,US,20,Jun-00,180,R/-,1,March 17 2005,17 G 22 A 39 P,2023 SJS 1st (4),smithwi01
Tyler Toffoli,SJS,73,CA,33,Jun-00,205,R/-,13,April 24 1992,15 G 21 A 36 P,2010 LAK 2nd (47),toffoty01
Alexander Wennberg,SJS,21,SE,31,2-Jun,190,L/-,11,September 22 1994,10 G 27 A 37 P,2013 CBJ 1st (14),wennbal01
Michael Carcone,UTA,53,CA,29,9-May,182,L/-,4,May 19 1996,11 G 10 A 21 P,Undrafted,carcomi01
Ian Cole,UTA,28,US,36,1-Jun,237,L/-,15,February 21 1989,2 G 14 A 16 P,2007 STL 1st (18),coleia01
Logan Cooley,UTA,92,US,21,Jun-00,191,L/-,2,May 4 2004,14 G 9 A 23 P,2022 ARI 1st (3),coolelo01
Lawson Crouse,UTA,67,CA,28,4-Jun,214,L/-,9,June 23 1997,14 G 15 A 29 P,2015 FLA 1st (11),crousla01
Nick DeSimone,UTA,57,US,31,2-Jun,194,R/-,3,November 21 1994,2 G 3 A 5 P,Undrafted,desimni01
Sean Durzi,UTA,50,CA,27,1-Jun,196,R/-,4,October 21 1998,5 G 14 A 19 P,2018 TOR 2nd (52),durzise01
Dylan Guenther,UTA,11,CA,22,1-Jun,191,R/-,3,April 10 2003,25 G 22 A 47 P,2021 ARI 1st (9),guentdy01
Barrett Hayton,UTA,27,CA,25,1-Jun,200,L/-,6,June 9 2000,7 G 14 A 21 P,2018 ARI 1st (5),haytoba01
Clayton Keller (C),UTA,9,US,27,10-May,175,L/-,9,July 29 1998,17 G 37 A 54 P,2016 ARI 1st (7),kellecl01
Alexander Kerfoot,UTA,15,CA,31,11-May,185,L/-,8,August 11 1994,1 G 0 A 1 P,2012 NJD 5th (150),kerfoal01
Olli Maatta,UTA,2,FI,31,2-Jun,207,L/-,12,August 22 1994,0 G 1 A 1 P,2012 PIT 1st (22),maattol01
John Marino,UTA,6,US,28,1-Jun,200,R/-,6,May 21 1997,4 G 24 A 28 P,2015 EDM 6th (154),marinjo01
Jack McBain,UTA,22,CA,26,4-Jun,219,L/-,4,January 6 2000,6 G 13 A 19 P,2018 MIN 3rd (63),mcbaija03
Liam O'Brien,UTA,38,CA,31,1-Jun,215,L/-,8,July 29 1994,2 G 1 A 3 P,Undrafted,obrieli01
JJ Peterka,UTA,77,DE,24,Jun-00,189,L/-,4,January 14 2002,20 G 18 A 38 P,2020 BUF 2nd (34),peterjo01
Nick Schmaltz,UTA,8,US,29,Jun-00,184,R/-,9,February 23 1996,23 G 30 A 53 P,2014 CHI 1st (20),schmani01
Nate Schmidt,UTA,88,US,34,Jun-00,197,L/-,12,July 16 1991,4 G 14 A 18 P,Undrafted,schmina01
Mikhail Sergachev,UTA,98,RU,27,3-Jun,212,L/-,9,June 25 1998,9 G 29 A 38 P,2016 MTL 1st (9),sergami01
Kevin Stenlund,UTA,82,SE,29,3-Jun,213,R/-,7,September 20 1996,4 G 8 A 12 P,2015 CBJ 2nd (58),stenlke01
Brandon Tanev,UTA,13,CA,34,Jun-00,189,L/-,10,December 31 1991,0 G 2 A 2 P,Undrafted,tanevbr01
Vitek Vanecek,UTA,41,CZ,30,2-Jun,184,-/L,5,January 9 1996,3-9-2 2.93 GAA,2014 WSH 2nd (39),vanecvi01
Karel Vejmelka,UTA,70,CZ,29,4-Jun,221,-/R,4,May 25 1996,27-14-2 2.58 GAA,2015 NSH 5th (145),vejmeka01
Kailer Yamamoto,UTA,56,US,27,9-May,178,R/-,8,September 29 1998,9 G 8 A 17 P,2017 EDM 1st (22),yamamka01
